IMF_PC1,IMF_PC2,IMF_PC3,IMF_PC4,iso3
-4.376441102139633,-0.1366133443246705,-0.7786722774184188,0.8085912467092832,AFG
-4.419909870878067,-0.12777335072076546,-0.6263746462803564,0.5253368465209717,AFG
-4.463281894486048,-0.12721354454287825,-0.8587334316649914,0.5304519974913724,AFG
-4.564219075279741,-0.11637825386212662,-1.0090250332443111,0.5921369788538909,AFG
-4.6969262372412235,-0.10844860752216837,-0.9796161313556736,0.5659116956138894,AFG
-4.622656625883283,-0.10650722433455004,-1.1438420848147923,0.5339967198514782,AFG
-4.746533854369653,-0.09490976934814563,-1.2908313005253103,0.6702343432775733,AFG
-4.738672054093339,-0.0952415064170358,-1.243879632453904,0.8865764673125252,AFG
-4.545806156843496,-0.10283320445850083,-1.1876680955806185,0.8275594084244379,AFG
-4.683135949125866,-0.08834204350936639,-1.2709482868302535,1.0305899288444214,AFG
-4.812729427628344,-0.08002182402937882,-1.1689857784585151,0.919338309330047,AFG
-4.785432626445084,-0.08328000068218336,-1.0037222023761225,0.7055525848526343,AFG
-4.930421453175276,-0.07958644517117189,-1.0448743546340589,0.7885956025083314,AFG
-4.883923596424439,-0.08679383112027797,-0.929474085636205,0.5698007637596311,AFG
-4.8727624775738345,-0.08514950604689739,-0.9446695841007288,0.5517151552860629,AFG
-4.734431816196187,-0.08807025621079975,-0.8681216876313294,0.36574952596758964,AFG
-4.665239221467067,-0.10226515887088658,-0.8629466272066293,0.40082663279638636,AFG
-4.6590864204135105,-0.10346140714715221,-0.8063502883309601,0.2639110885121782,AFG
-4.6694824228642515,-0.1000532011846155,-0.6958868690885276,0.2347386499898855,AFG
-4.706983427099819,-0.09849254623462425,-0.6174242159037022,0.15562529839206526,AFG
-4.80640761347195,-0.08866676541945431,-0.5559909752410582,0.23305641901297758,AFG
-4.900415472357896,-0.08287571700427157,-0.48454864755752886,0.1671829798936998,AFG
-4.811221311773736,-0.08571937088361967,-0.7419543976773049,0.1976189598568078,AFG
-4.654896557037364,-0.09211417567470323,-0.8401572154179341,0.4373550851008492,AFG
-4.606662602341226,-0.10038644525044019,-0.9436757589659767,0.3961529651831395,AFG
-4.458301286979755,-0.1084529688854983,-0.9289969379477389,0.18262645772498567,AFG
-4.24059836762243,-0.12848507135635123,-0.7316055533042555,0.16112600026248414,AFG
-3.893666291349062,-0.15275659986573312,-0.4738219011984452,0.2011571028132307,AFG
-3.5249909815386533,-0.1808262903534509,-0.39988704347183607,0.31179206815275895,AFG
